Регион;Единица измерения;Протяженность автодорог федерального значения на конец 2014 года;Протяженность автодорог федерального значения на конец 2015 года;Протяженность автодорог федерального значения на конец 2016 года
Алтайский край;километр (тысяча метров);636,2;636,2;637,1
Амурская область;километр (тысяча метров);1483,3;1483,3;1483,3
Архангельская область;километр (тысяча метров);596,7;582,8;582,8
Ненецкий автономный округ (Архангельская область);километр (тысяча метров);4;4;4
Астраханская область;километр (тысяча метров);577,9;577,9;577,8
Белгородская область;километр (тысяча метров);113,5;112,9;112,9
Брянская область;километр (тысяча метров);567,3;567,2;567,2
Владимирская область;километр (тысяча метров);428,9;428,9;428,9
Волгоградская область;километр (тысяча метров);811,6;811,5;811,6
Вологодская область;километр (тысяча метров);1005,2;1005,1;1005,1
Воронежская область;километр (тысяча метров);803,7;803,7;832,1
Город Москва столица Российской Федерации город федерального значения;километр (тысяча метров);21;21;21
Город Санкт-Петербург город федерального значения;километр (тысяча метров);-;74,6;74,6
Еврейская автономная область;километр (тысяча метров);353,9;353,9;353,9
Забайкальский край;километр (тысяча метров);1722,6;1722,6;1722,5
Ивановская область;километр (тысяча метров);99,2;119;118,8
Иркутская область;километр (тысяча метров);1699,6;1683,6;1680,1
Кабардино-Балкарская Республика;километр (тысяча метров);379,6;379,6;379,6
Калининградская область;километр (тысяча метров);203,8;256,1;256,2
Калужская область;километр (тысяча метров);856,3;857,7;851,4
Камчатская край;километр (тысяча метров);38;38;38
Карачаево-Черкесская Республика;километр (тысяча метров);325,6;325,6;325,6
Кемеровская область;километр (тысяча метров);466,1;454,4;454,4
Кировская область;километр (тысяча метров);389,3;389,3;389,3
Костромская область;километр (тысяча метров);58;58;58
Краснодарский край;километр (тысяча метров);1352,3;1418,8;1422,4
Красноярский край;километр (тысяча метров);1258,5;1258,9;1258,9
Курганская область;километр (тысяча метров);729,8;729,8;729,8
Курская область;километр (тысяча метров);435,4;435,4;436,8
Ленинградская область;километр (тысяча метров);1514,3;1481,3;1481,3
Липецкая область;километр (тысяча метров);473,9;473,9;473,9
Магаданская область;километр (тысяча метров);834;834;834
Московская область;километр (тысяча метров);2369,6;2382,6;2381,5
Мурманская область;километр (тысяча метров);560,6;557,1;561,1
Нижегородская область;километр (тысяча метров);458,2;458,2;472,5
Новгородская область;километр (тысяча метров);400,5;400,5;400,5
Новосибирская область;километр (тысяча метров);795,8;795,8;795,7
Объекты административно-территориального деления, кроме сельских населенных пунктов;километр (тысяча метров);51704,1;51891,2;51959,3
Омская область;километр (тысяча метров);730,6;729,4;729,5
Оренбургская область;километр (тысяча метров);979;977,3;977,3
Орловская область;километр (тысяча метров);464,7;464,7;464,6
Пензенская область;километр (тысяча метров);719,7;719,7;719,7
Пермский край;километр (тысяча метров);432,9;423;417,5
Приморский край;километр (тысяча метров);581,2;581,2;583,7
Псковская область;километр (тысяча метров);752;752;752
Республика Адыгея (Адыгея);километр (тысяча метров);208,8;208,8;208,8
Республика Алтай;километр (тысяча метров);539,2;539,9;540
Республика Башкортостан;километр (тысяча метров);785,6;795,3;795,3
Республика Бурятия;километр (тысяча метров);837,6;835,8;836
Республика Дагестан;километр (тысяча метров);644;644;644
Республика Ингушетия;километр (тысяча метров);42,8;42,8;42,8
Республика Калмыкия;километр (тысяча метров);628;628,9;628,9
Республика Карелия;километр (тысяча метров);1311;1346;1322,4
Республика Коми;километр (тысяча метров);283,6;283,6;283,6
Республика Крым;километр (тысяча метров);-;0;-
Республика Марий Эл;километр (тысяча метров);231,6;229,2;229,1
Республика Мордовия;километр (тысяча метров);392,1;392,3;398,7
Республика Саха (Якутия);километр (тысяча метров);3312,9;3312,9;3312,8
Республика Северная Осетия-Алания;километр (тысяча метров);270,4;270,3;271,1
Республика Татарстан (Татарстан);километр (тысяча метров);1069;1074,1;1074,1
Республика Тыва;километр (тысяча метров);378;378;378
Республика Хакасия;километр (тысяча метров);171,5;171,5;171,6
Ростовская область;километр (тысяча метров);702;702;701,9
Рязанская область;километр (тысяча метров);510,2;510,2;522,8
Самарская область;километр (тысяча метров);725,9;707;706,9
Саратовская область;километр (тысяча метров);720,7;725,7;725,7
Сахалинская область;километр (тысяча метров);112;112;112
Свердловская область;километр (тысяча метров);588,3;588,3;588,3
Севастополь;километр (тысяча метров);-;0;-
Смоленская область;километр (тысяча метров);698,9;699,2;699,1
Ставропольский край;километр (тысяча метров);822,3;830,8;830,8
Тамбовская область;километр (тысяча метров);611,1;611,1;611,2
Тверская область;километр (тысяча метров);903,2;903,2;902,7
Томская область;километр (тысяча метров);34,8;34,8;34,7
Тульская область;километр (тысяча метров);731,6;730,2;734,9
Тюменская область;километр (тысяча метров);1023,8;1023,8;1023,7
Ханты-Мансийский автономный округ - Югра (Тюменская область);километр (тысяча метров);345;345;345
Ямало-Ненецкий автономный округ (Тюменская область);километр (тысяча метров);-;0;-
Удмуртская Республика;километр (тысяча метров);293,5;293,5;320,5
Ульяновская область;километр (тысяча метров);432,1;430,1;430,1
Хабаровский край;километр (тысяча метров);454,5;454,5;458,5
Челябинская область;километр (тысяча метров);603,7;603,7;603,7
Чеченская Республика;километр (тысяча метров);120,5;135,3;135,3
Чувашская Республика - Чувашия;километр (тысяча метров);329,1;326,4;326,4
Чукотский автономный округ;километр (тысяча метров);23,5;23,5;23,5
Ярославская область;километр (тысяча метров);327;327;324,6
